"Days";"H"
4;7,4
4;5,9
4;4,9
4;6,1
4;5,9
4;5,4
4;5,8
4;4,6
4;3,1
4;5,1
4;3,1
4;5,1
4;5,5
4;4,9
4;4,8
4;6
4;5,3
4;4,9
4;6,2
4;4,1
4;6,9
4;3,9
4;6,4
4;6,3
18;5,3
18;8,4
18;8,1
18;7,3
18;3,7
18;8,2
18;9,2
18;8,8
18;4,3
18;8,4
18;7,5
18;6,3
18;6,6
18;7,6
18;8
18;7,4
18;7,2
18;6,8
18;8,3
18;8,8
18;9,4
18;6,3
18;6,1
18;6,5
32;10,1
32;8,9
32;9
32;7,3
32;9
32;6,1
32;6
32;7,1
32;5,9
32;8,4
32;9,1
32;9,1
32;9,3
32;6,6
32;6,5
32;5,8
32;9,4
32;8,8
32;7,7
32;5,6
32;6,5
32;8,1
32;8,5
32;7,2
46;10,5
46;10,7
46;8,5
46;12,3
46;9,8
46;8,5
46;7,9
46;14,8
46;12,2
46;12,8
46;11,3
46;10,1
46;8,2
46;11,5
46;11,6
46;11
46;12,8
46;9,7
46;10,6
46;9,5
46;6,8
46;13
46;8,6
46;13,1
60;13,5
60;12,8
60;16,5
60;12,5
60;13
60;11
60;13,5
60;12,2
60;15,1
60;13,5
60;13,3
60;15,1
60;14,4
60;14,6
60;14
60;13,6
60;13,6
60;15,7
60;13,5
60;11
60;14,2
60;14,1
60;12,6
60;16
74;13,7
74;15,1
74;16,4
74;15,9
74;15,2
74;21,2
74;15,3
74;14,2
74;15,5
74;21,2
74;20,6
74;15,1
74;15,9
74;21,5
74;19,7
74;14,3
74;18
74;17,3
74;18,3
74;18,1
74;18,6
74;14,6
74;19,4
74;15,3
88;19,7
88;18,9
88;18,9
88;20,2
88;23,6
88;21,9
88;20
88;23,2
88;20,5
88;20,1
88;18,8
88;19,5
88;21,5
88;19
88;24,8
88;16,9
88;26,6
88;22,8
88;17
88;18,8
88;22,7
88;21,9
88;22,2
88;22
102;26,1
102;28,5
102;28,5
102;25
102;27,6
102;31
102;30,8
102;27,6
102;26,6
102;26
102;25,7
102;26,6
102;27,5
102;31,9
102;26,7
102;19,1
102;24,9
102;24,4
102;27,8
102;27,4
102;26,1
102;28,6
102;28,1
102;28,7
116;37,8
116;36,1
116;36,1
116;32,5
116;30,8
116;33,8
116;32,3
116;41
116;35
116;32,9
116;36,2
116;33,2
116;35
116;33,8
116;33,9
116;38
116;36
116;28,1
116;36,4
116;35
116;32,3
116;39,5
116;32
116;35,1
130;46,3
130;49,5
130;39,3
130;41,6
130;43,8
130;38,4
130;38,1
130;45,5
130;41,9
130;37,6
130;46,6
130;41,2
130;42,5
130;49,5
130;45,6
130;38,1
130;44,1
130;50,2
130;44,4
130;44,4
130;42,4
130;42,2
130;37,9
130;41,7
